Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
ICICI Pru Income Optimizer Fund (FOF) - Dir (G),FoFs Domestic,5000,Moderately High,11.87,11.77,11.16,0.53,267.84,Growth,Active Fund,INF109K01W82,Yes
Edelweiss Focused Fund - Direct (G),Focused Fund,100,Very High,11.87,,,0.67,896.98,Growth,Active Fund,INF754K01OP1,Yes
WhiteOak Capital Flexi Cap Fund - Direct (G),Flexi Cap Fund,500,Very High,11.78,,,0.45,4228.79,Growth,Active Fund,INF03VN01530,Yes
HDFC Transportation and Logistics Fund - Dir (G),Sectoral / Thematic,100,Very High,11.76,,,0.97,1278.31,Growth,Active Fund,INF179KC1GU0,Yes
DSP Focus Fund - Direct (G),Focused Fund,100,Very High,11.75,15.9,14.86,0.99,2392.95,Growth,Active Fund,INF740K01OB0,Yes
HSBC Consumption Fund - Direct (G),Sectoral / Thematic,5000,Very High,11.74,,,0.71,1480.05,Growth,Active Fund,INF336L01QZ9,Yes
AXIS Retirement Fund - AP - Direct (G),Retirement Fund,5000,Very High,11.72,11.65,11.89,0.91,825.61,Growth,Active Fund,INF846K01S86,Yes
Mirae Asset Multi Asset Allocation Fund-Dir (G),Multi Asset Allocation,5000,Very High,11.7,,,0.49,1799.77,Growth,Active Fund,INF769K01KZ6,Yes
Nippon India Consumption Fund - Direct (G),Sectoral / Thematic,5000,Very High,11.63,20.83,21.74,0.57,2184.16,Growth,Active Fund,INF204K01G52,Yes
Kotak Equity Hybrid Fund - Direct (G),Aggressive Hybrid Fund,100,Very High,11.6,14.5,17.14,0.5,6753.16,Growth,Active Fund,INF174K01F00,Yes
ICICI Pru Asset Allocator Fund (FOF)-Dir (G),FoFs Domestic,5000,High,11.57,13.73,14.76,0.28,23854.29,Growth,Active Fund,INF109K01X16,Yes
DSP Dynamic Asset Allocation Fund -Dir (G),Dynamic Asset Allocation or Balanced Advantage,100,Moderately High,11.56,10.95,10.64,0.73,3185.69,Growth,Active Fund,INF740K01K81,Yes
DSP Equity Savings Fund - Direct (G),Equity Savings,100,Moderately High,11.55,10.03,10.57,0.44,2417.24,Growth,Active Fund,INF740KA1504,Yes
Canara Robeco Bluechip Equity Fund - Direct (G),Large Cap Fund,5000,Very High,11.51,14.13,16.79,0.51,14579.48,Growth,Active Fund,INF760K01FR2,Yes
PGIM India Large and Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,11.5,,,0.59,602.29,Growth,Active Fund,INF663L01Y12,Yes
Canara Robeco Infrastructure - Direct (G),Sectoral / Thematic,5000,Very High,11.46,23.32,24.65,1.07,810.13,Growth,Active Fund,INF760K01FO9,Yes
HDFC Multi-Asset Fund - Direct (G),Multi Asset Allocation,100,Very High,11.45,13.71,15.37,0.79,3892.7,Growth,Active Fund,INF179K01XW8,Yes
Bandhan Core Equity Fund - Direct (G),Large & Mid Cap Fund,1000,Very High,11.43,22.21,21.34,0.6,7574.37,Growth,Active Fund,INF194K01V89,Yes
UTI-India Consumer Fund - Direct (G),Sectoral / Thematic,5000,Very High,11.43,13.36,14.07,1.48,675.14,Growth,Active Fund,INF789F01VF3,Yes
Bandhan Nifty IT Index Fund - Direct (G),Index Fund,1000,Very High,11.41,,,0.37,29.35,Growth,Passive Fund,INF194KB1GK3,Yes
Sundaram Equity Savings Fund - Direct (G),Equity Savings,100,Moderate,11.4,12.05,14.2,0.75,1066.96,Growth,Active Fund,INF173K01GZ9,Yes
Baroda BNP Paribas Aqua Fund of Fund - Dir (G),FoFs Overseas,5000,Very High,11.39,9.09,,0.53,42.82,Growth,Active Fund,INF251K01QT5,No
Invesco India - Invesco PEE Fund of Fund - Direct (G),FoFs Overseas,1000,Very High,11.37,8.91,9.63,0.58,34.59,Growth,Active Fund,INF205K01A24,Yes
Baroda BNP Paribas Banking&Fin Serv Fund-Dir (G),Sectoral / Thematic,5000,Very High,11.36,15.01,11.23,0.92,214.42,Growth,Active Fund,INF955L01971,Yes
Edelweiss Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,100,Very High,11.34,17.48,18.11,0.35,2370.98,Growth,Active Fund,INF754K01CE0,Yes
AXIS Nifty IT Index Fund - Direct (G),Index Fund,100,Very High,11.34,,,0.32,140.82,Growth,Passive Fund,INF846K017R3,Yes
DSP Equity Opportunities Fund - Direct (G),Large & Mid Cap Fund,100,Very High,11.34,18.64,19.06,0.67,13444.08,Growth,Active Fund,INF740K01PL6,Yes
SBI Long Term Equity Fund - Direct (G),ELSS,500,Very High,11.3,24.04,23.04,0.95,27305.51,Growth,Active Fund,INF200K01UM9,Yes
Edelweiss Flexi Cap Fund - Dir (G),Flexi Cap Fund,100,Very High,11.27,17.31,18.95,0.4,2376.12,Growth,Active Fund,INF843K01KK1,Yes
SBI Multi Asset Allocation Fund - Direct (G),Multi Asset Allocation,5000,Very High,11.22,14.74,14.18,0.54,7140.71,Growth,Active Fund,INF200K01TZ3,Yes
WhiteOak Capital Banking & Financial Services Fund-Dir (G),Sectoral / Thematic,500,Very High,11.19,,,0.66,314.43,Growth,Active Fund,INF03VN01860,Yes
AXIS Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,500,Very High,11.18,9.12,11.73,1.08,1529.76,Growth,Active Fund,INF846K01E25,Yes
ICICI Pru Nifty IT Index Fund - Direct (G),Index Fund,1000,Very High,11.18,,,0.37,524.09,Growth,Passive Fund,INF109KC13E2,Yes
WhiteOak Capital Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,500,Very High,11.14,,,0.43,1493.62,Growth,Active Fund,INF03VN01845,Yes
AXIS ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,11.1,9.91,11.89,0.79,34496.58,Growth,Active Fund,INF846K01EW2,Yes
AXIS Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,11.07,10.5,13.46,0.71,12125.4,Growth,Active Fund,INF846K01B28,Yes
SBI Equity Hybrid Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,11.06,11.82,13.27,0.73,71142.58,Growth,Active Fund,INF200K01RY0,Yes
SBI Large & Midcap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,11.05,16.37,19.45,0.73,28677.29,Growth,Active Fund,INF200K01UJ5,Yes
Kotak Healthcare Fund - Direct (G),Sectoral / Thematic,100,Very High,10.94,,,0.78,415.85,Growth,Active Fund,INF174KA1PZ7,Yes
DSP Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,10.91,14.65,16.21,0.72,11032.79,Growth,Active Fund,INF740K01PI2,Yes
Invesco India Smallcap Fund - Direct (G),Small Cap Fund,1000,Very High,10.89,22.75,26.41,0.41,5904.85,Growth,Active Fund,INF205K013T3,Yes
HSBC Equity Savings Fund - Direct (G),Equity Savings,5000,Moderate,10.86,11.41,12.08,0.61,645.87,Growth,Active Fund,INF917K01GE4,Yes
UTI-Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,10.78,,,0.68,2921.21,Growth,Active Fund,INF789F1AYV3,Yes
Baroda BNP Paribas Multi Asset Fund - Dir (G),Multi Asset Allocation,5000,Very High,10.77,,,1.04,1147.15,Growth,Active Fund,INF251K01RF2,Yes
JM Flexicap Fund - Direct (G),Flexi Cap Fund,1000,Very High,10.77,23.6,21.75,0.52,5254.65,Growth,Active Fund,INF192K01CC7,Yes
LIC MF Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,10.77,14.82,16.88,0.59,2915.53,Growth,Active Fund,INF767K01NE9,Yes
ICICI Pru Business Cycle Fund - Direct (G),Sectoral / Thematic,5000,Very High,10.75,19.36,,0.73,11616.63,Growth,Active Fund,INF109KC1P24,Yes
ICICI Pru Quant Fund - Direct (G),Sectoral / Thematic,1000,Very High,10.68,15.15,,0.93,116.88,Growth,Active Fund,INF109KC1O66,Yes
SBI ESG Exclusionary Strategy Fund - Direct (G),Sectoral / Thematic,1000,Very High,10.68,11.14,14.69,1.33,5543.93,Growth,Active Fund,INF200K01SE0,Yes
Franklin India Feeder - TEO Fund - Direct (G),FoFs Overseas,5000,Very High,10.6,4.97,3.05,0.52,15.06,Growth,Active Fund,INF090I01KX6,Yes
LIC MF Dividend Yield Fund - Direct (G),Dividend Yield Fund,5000,Very High,10.57,18.58,20.06,0.69,482.65,Growth,Active Fund,INF397L01LC1,Yes
Canara Robeco Multi Cap Fund - Direct (G),Multi Cap Fund,5000,Very High,10.56,,,0.51,3815.61,Growth,Active Fund,INF760K01KO9,Yes
ICICI Pru Dividend Yield Equity Fund - Direct (G),Dividend Yield Fund,5000,Very High,10.52,22.93,26.52,0.57,4834.9,Growth,Active Fund,INF109KA1UA0,Yes
Baroda BNP Paribas Multi Cap Fund-Dir (G),Multi Cap Fund,5000,Very High,10.5,17.06,20.88,0.95,2649.94,Growth,Active Fund,INF955L01AG0,Yes
Invesco India Equity Savings Fund - Direct (G),Equity Savings,1000,Moderately High,10.49,10.49,9.86,0.71,401.88,Growth,Active Fund,INF205KA1049,Yes
PGIM India Elss Tax Saver Fund - Direct (G),ELSS,500,Very High,10.49,12.93,18.39,0.74,749.45,Growth,Active Fund,INF663L01FN5,Yes
WhiteOak Capital Balanced Hybrid Fund - Direct (G),Balanced Hybrid Fund,500,High,10.45,,,0.7,157.08,Growth,Active Fund,INF03VN01829,Yes
Kotak Global Emerging Market Fund - Direct (G),FoFs Overseas,100,Very High,10.43,2.4,6.65,1.27,88.97,Growth,Active Fund,INF174K01LW4,Yes
Kotak Nifty Financial Services Ex-Bank Index Fund-Dir (G),Index Fund,100,Very High,10.41,,,0.23,38.89,Growth,Passive Fund,INF174KA1OR7,Yes
UTI-Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,5000,Moderately High,10.34,9.26,10.32,1.18,1632.94,Growth,Active Fund,INF789F01UJ7,Yes
HSBC Business Cycles Fund - Direct (G),Sectoral / Thematic,5000,Very High,10.31,19.55,18.44,1.14,958.69,Growth,Active Fund,INF917K01RI2,Yes
Aditya Birla SL Regular Savings Fund-Dir (Payment),Conservative Hybrid Fund,1000,Moderately High,10.3,8.48,10.17,1.01,1388.87,Growth,Active Fund,INF209K01XJ0,Yes
Aditya Birla SL Regular Savings Fund-Dir (G),Conservative Hybrid Fund,500,Moderately High,10.3,8.48,10.17,1.01,1388.87,Growth,Active Fund,INF209K01XH4,Yes
Baroda BNP Paribas ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,10.29,15.07,16.04,1.0,892.99,Growth,Active Fund,INF251K01HF3,Yes
Kotak Multi Asset Allocation Fund - Direct (G),Multi Asset Allocation,100,Very High,10.25,,,0.41,7680.06,Growth,Active Fund,INF174KA1PD4,Yes
HSBC Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,5000,Moderately High,10.19,8.55,9.13,1.34,150.95,Growth,Active Fund,INF336L01DW4,Yes
Bandhan Midcap Fund - Direct (G),Mid Cap Fund,1000,Very High,10.19,,,0.63,1490.55,Growth,Active Fund,INF194KB1DJ2,Yes
Aditya Birla SL India GenNext Fund - Direct (G),Sectoral / Thematic,1000,Very High,10.14,15.61,16.83,0.82,5625.62,Growth,Active Fund,INF209K01WC7,Yes
Edelweiss Equity Savings Fund-Dir (G),Equity Savings,100,Moderately High,10.13,10.75,11.4,0.59,572.01,Growth,Active Fund,INF843K01KC8,Yes
UTI-Focused Fund - Direct (G),Focused Fund,5000,Very High,10.11,15.35,,0.67,2563.25,Growth,Active Fund,INF789F1AVA3,Yes
Sundaram Focused Fund - Direct (G),Focused Fund,300,Very High,10.11,13.45,17.05,1.41,1062.46,Growth,Active Fund,INF173K01EK6,Yes
Aditya Birla SL FP FoF - Aggressive - Direct (G),FoFs Domestic,100,Very High,10.08,13.82,15.9,0.42,208.52,Growth,Active Fund,INF084M01EW6,Yes
Invesco India Multicap Fund - Direct (G),Multi Cap Fund,1000,Very High,10.06,17.18,19.22,0.66,3727.8,Growth,Active Fund,INF205K01MS2,Yes
ICICI Pru Regular Savings Fund - Direct (G),Conservative Hybrid Fund,5000,Moderately High,10.05,9.9,10.11,0.94,3144.05,Growth,Active Fund,INF109K01S39,Yes
SBI BlueChip Fund - Direct (G),Large Cap Fund,5000,Very High,10.0,13.61,15.88,0.81,49128.07,Growth,Active Fund,INF200K01QX4,Yes
Tata Retirement Savings Fund - Moderate-Dir (G),Retirement Fund,5000,Very High,9.99,13.45,13.94,0.61,2061.76,Growth,Active Fund,INF277K01QN3,Yes
AXIS ESG Integration Strategy Fund - Direct (G),Sectoral / Thematic,100,Very High,9.98,10.66,16.65,1.32,1249.2,Growth,Active Fund,INF846K01W23,Yes
Bandhan Hybrid Equity Fund - Direct (G),Aggressive Hybrid Fund,1000,Very High,9.98,12.99,15.29,1.0,786.07,Growth,Active Fund,INF194KA1U56,Yes
HSBC Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,9.96,16.1,17.95,0.87,3873.33,Growth,Active Fund,INF336L01NV5,Yes
Edelweiss MSCI I D & W H 45 Index Fund-Dir(G),Index Fund,100,Very High,9.93,16.38,,0.5,152.78,Growth,Passive Fund,INF754K01LV5,Yes
Navi Nifty India Manufacturing Index Fund - Dir (G),Index Fund,100,Very High,9.91,,,0.22,51.81,Growth,Passive Fund,INF959L01GD6,Yes
Invesco India ESG Integration Strategy Fund - Direct (G),Sectoral / Thematic,1000,Very High,9.91,10.94,,0.97,483.57,Growth,Active Fund,INF205KA1338,Yes
Sundaram Mid Cap Fund - Direct (G),Mid Cap Fund,100,Very High,9.88,21.7,19.8,0.93,11638.05,Growth,Active Fund,INF903J01MJ3,Yes
Invesco India Financial Services Fund-Direct (G),Sectoral / Thematic,1000,Very High,9.87,17.84,14.44,0.88,1126.35,Growth,Active Fund,INF205K01KY4,Yes
Franklin India Balanced Advantage Fund-Dir (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,9.87,,,0.49,2487.49,Growth,Active Fund,INF090I01WQ5,Yes
Mirae Asset Nifty India Manufacturing ETF Fund of Fund - Dir (G),FoFs Domestic,5000,Very High,9.86,18.05,,0.09,105.58,Growth,Active Fund,INF769K01HZ2,Yes
Bandhan Flexi Cap Fund - Direct (G),Flexi Cap Fund,1000,Very High,9.86,13.28,14.15,1.17,6990.76,Growth,Active Fund,INF194K01W62,Yes
Aditya Birla SL FP FoF - Moderate - Direct (G),FoFs Domestic,500,High,9.86,12.1,13.4,0.59,35.38,Growth,Active Fund,INF084M01ET2,Yes
DSP Regular Savings Fund - Direct (G),Conservative Hybrid Fund,100,Moderately High,9.86,8.81,9.1,0.5,164.3,Growth,Active Fund,INF740K01NO5,Yes
Tata Retirement Savings Fund - Progressiv-Dir (G),Retirement Fund,5000,Very High,9.84,14.33,14.48,0.54,1979.06,Growth,Active Fund,INF277K01QO1,Yes
SBI Contra Fund - Direct (G),Contra Fund,5000,Very High,9.82,22.01,28.36,0.59,41634.25,Growth,Active Fund,INF200K01RA0,Yes
Aditya Birla SL FP FoF - Conservative - Direct (G),FoFs Domestic,500,High,9.81,10.57,11.05,0.61,17.04,Growth,Active Fund,INF084M01EQ8,Yes
Aditya Birla SL Balanced Advantage Fund-Dir (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,9.8,12.0,12.93,0.72,7239.48,Growth,Active Fund,INF084M01DJ5,Yes
Kotak Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,9.77,11.48,12.15,0.58,16648.57,Growth,Active Fund,INF174KA1210,Yes
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Apr 2037 Index Fund-Dir (G),Index Fund,100,Moderate,9.77,,,0.2,1002.64,Growth,Passive Fund,INF754K01PF9,Yes
Aditya Birla SL Focused Fund-Direct (G),Focused Fund,1000,Very High,9.73,14.5,15.83,0.91,7353.75,Growth,Active Fund,INF209K01WE3,Yes
Mirae Asset Great Consumer Fund - Direct (G),Sectoral / Thematic,5000,Very High,9.69,18.46,18.83,0.45,3942.01,Growth,Active Fund,INF769K01BL5,Yes
Aditya Birla SL Special Opportunities Fund-Dir (G),Sectoral / Thematic,500,Very High,9.68,15.52,,1.36,732.37,Growth,Active Fund,INF209KB1T79,Yes
Bank of India Short Term Income - Direct (G),Short Duration Fund,5000,Moderately Low,9.67,14.32,8.76,0.45,99.44,Growth,Active Fund,INF761K01736,Yes
Tata Banking & Financial Services Fund - Dir (G),Sectoral / Thematic,5000,Very High,9.64,16.36,13.36,0.55,2323.96,Growth,Active Fund,INF277K01Z10,Yes
WhiteOak Capital Mid Cap Fund - Direct (G),Mid Cap Fund,500,Very High,9.62,,,0.44,2657.43,Growth,Active Fund,INF03VN01597,Yes
ICICI Pru Equity & Debt Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,9.61,17.86,21.28,1.01,39886.28,Growth,Active Fund,INF109K01Y07,Yes
Aditya Birla SL Retirement-The 40s Plan-Dir (G),Retirement Fund,1000,Very High,9.54,12.32,11.44,1.01,108.85,Growth,Active Fund,INF209KB1I80,Yes
Invesco India Balanced Advantage Fund-Direct (G),Dynamic Asset Allocation or Balanced Advantage,1000,Very High,9.52,13.27,11.88,0.82,934.59,Growth,Active Fund,INF205K01LN5,Yes
Quantum Equity Fund Of Funds - Direct (G),FoFs Domestic,500,Very High,9.51,13.35,15.07,0.51,121.24,Growth,Active Fund,INF082J01093,Yes
Tata Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,9.5,13.95,15.25,0.67,2885.87,Growth,Active Fund,INF277K015K0,Yes
Nippon India Nifty G-Sec-Jun2036 Maturity Index Fund-Dir (G),Index Fund,1000,Moderate,9.46,,,0.2,743.67,Growth,Passive Fund,INF204KC1AC0,Yes
Franklin India Equity Hybrid Fund - Direct (G),Aggressive Hybrid Fund,5000,Very High,9.46,14.65,15.89,1.01,2031.12,Growth,Active Fund,INF090I01FZ1,Yes
HDFC Nifty G-Sec Jun 2036 Index Fund - Dir (G),Index Fund,100,High,9.45,,,0.2,817.22,Growth,Passive Fund,INF179KC1FS6,Yes
Edelweiss Multi Cap Fund - Direct (G),Multi Cap Fund,100,Very High,9.44,,,0.3,2505.65,Growth,Active Fund,INF754K01SD8,Yes
AXIS Bluechip Fund - Direct (G),Large Cap Fund,100,Very High,9.44,9.67,12.07,0.69,32271.39,Growth,Active Fund,INF846K01DP8,Yes
Sundaram Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,9.44,,,0.78,1979.11,Growth,Active Fund,INF903JA1LE2,Yes
ICICI Pru Long Term Bond Fund - Direct (G),Long Duration Fund,5000,Moderate,9.43,6.84,5.88,0.4,1165.23,Growth,Active Fund,INF109K017L8,Yes
ICICI Pru MNC Fund - Direct (G),Sectoral / Thematic,5000,Very High,9.39,13.05,21.31,1.05,1677.7,Growth,Active Fund,INF109KC1D93,Yes
Mirae Asset CRISIL IBX Gilt Index - April 2033 Index Fund-Dir (G),Index Fund,5000,Moderate,9.37,,,0.12,254.69,Growth,Passive Fund,INF769K01IX5,No
Franklin India Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,9.36,15.66,19.28,0.94,11553.45,Growth,Active Fund,INF090I01IW2,Yes
Tata Equity Saving Fund-Dir (App),Equity Savings,5000,Moderately High,9.36,9.66,9.91,0.5,249.86,Growth,Active Fund,INF277K01QH5,Yes
ICICI Pru ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,9.35,14.31,17.11,1.13,13548.75,Growth,Active Fund,INF109K01Y31,Yes
SBI CRISIL IBX Gilt Index-June 2036 Fund-Dir (G),Index Fund,5000,Moderate,9.33,,,0.28,2445.28,Growth,Passive Fund,INF200KA12Q9,Yes
Invesco India Nifty G-sec Sep 2032 Index Fund-Dir (G),Index Fund,1000,Moderate,9.33,,,0.14,49.15,Growth,Passive Fund,INF205KA1817,Yes
UTI-CRISIL SDL Maturity April 2033 Index Fund-Dir (G),Index Fund,5000,Moderate,9.33,,,0.16,344.74,Growth,Passive Fund,INF789F1AWX3,Yes
SBI Consumption Opportunities Fund - Direct (G),Sectoral / Thematic,5000,Very High,9.32,19.32,20.18,0.9,2940.27,Growth,Active Fund,INF200K01RM5,Yes
UTI-ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,9.32,11.54,15.71,0.91,3642.98,Growth,Active Fund,INF789F01TF7,Yes
Aditya Birla SL Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,9.31,14.11,15.94,0.91,21416.97,Growth,Active Fund,INF209K01XX1,Yes
Bandhan CRISIL IBX Gilt April 2032 Index Fund-Dir (G),Index Fund,1000,Moderately High,9.31,,,0.2,438.44,Growth,Passive Fund,INF194KB1FF5,Yes
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-Apr 2032 Index Fund-Dir (G),Index Fund,1000,Moderately High,9.31,,,0.08,552.76,Growth,Passive Fund,INF194KB1EN2,No
Kotak Income Plus Arbitrage FOF - Direct (G),FoFs Domestic,100,Moderately High,9.31,,,0.1,208.14,Growth,Active Fund,INF174KA1KJ2,Yes
Bandhan GSF Constant Maturity Plan - Direct (G),Gilt Fund with 10 year Constant duration,1000,Moderate,9.3,6.51,6.19,0.15,358.2,Growth,Active Fund,INF194K01P38,Yes
ICICI Pru Flexicap Fund - Direct (G),Flexi Cap Fund,5000,Very High,9.29,18.28,,0.79,16176.14,Growth,Active Fund,INF109KC1R14,Yes
DSP CRISIL SDL Plus G-Sec Apr 2033 50:50 Index Fund-Dir (G),Index Fund,100,Moderately High,9.28,,,0.16,382.26,Growth,Passive Fund,INF740KA1SB7,Yes
HDFC Nifty G-Sec Sep 2032 Index Fund - Dir (G),Index Fund,100,Moderately High,9.28,,,0.2,602.75,Growth,Passive Fund,INF179KC1EL4,Yes
Nippon India Banking&Financial Services-Dir(G),Sectoral / Thematic,5000,Very High,9.28,16.79,14.86,1.05,6225.84,Growth,Active Fund,INF204K01XO1,Yes
Franklin India Equity Advantage Fund - Direct (G),Large & Mid Cap Fund,5000,Very High,9.28,13.45,16.65,1.34,3369.56,Growth,Active Fund,INF090I01IN1,Yes
HDFC Non-Cyclical Consumer Fund - Direct (G),Sectoral / Thematic,100,Very High,9.28,,,1.08,884.5,Growth,Active Fund,INF179KC1GO3,Yes
Baroda BNP Paribas Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,9.26,6.91,6.35,0.14,1758.59,Growth,Active Fund,INF955L01AD7,Yes
Aditya Birla SL Crisil IBX Gilt April 2033 Index Fund-Dir (G),Index Fund,1000,Moderate,9.23,,,0.22,98.28,Growth,Passive Fund,INF209KB19Y7,Yes
Aditya Birla SL Business Cycle Fund - Dir (G),Sectoral / Thematic,500,Very High,9.23,12.36,,1.0,1712.96,Growth,Active Fund,INF209KB14D2,Yes
Canara Robeco Consumer Trends Fund - Direct (G),Sectoral / Thematic,5000,Very High,9.23,17.16,18.28,0.85,1679.31,Growth,Active Fund,INF760K01DU1,Yes
LIC MF Medium to Long Duration Fund-Dir (G),Medium to Long Duration Fund,5000,Moderate,9.23,7.15,6.09,0.21,184.53,Growth,Active Fund,INF767K01EW0,Yes
UTI-Gilt Fund with 10yr Constant Duration-Dir (G),Gilt Fund with 10 year Constant duration,5000,Moderate,9.21,,,0.22,166.37,Growth,Active Fund,INF789F1AVR7,Yes
Nippon India Credit Risk Fund - Direct (G),Credit Risk Fund,500,High,9.2,7.52,6.11,0.7,979.71,Growth,Active Fund,INF204K01A74,Yes
HDFC Nifty G-Sec July 2031 Index Fund - Dir (G),Index Fund,100,Moderately High,9.19,,,0.2,680.73,Growth,Passive Fund,INF179KC1EH2,Yes
Nippon India Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,100,Very High,9.17,12.77,12.84,0.58,8757.84,Growth,Active Fund,INF204K01G94,Yes
ICICI Pru Multicap Fund - Direct (G),Multi Cap Fund,5000,Very High,9.17,19.55,20.05,0.98,13850.38,Growth,Active Fund,INF109K014O9,Yes
Franklin India ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,9.17,17.98,19.33,1.02,6438.34,Growth,Active Fund,INF090I01JS8,Yes
Kotak Medium Term Fund - Direct (G),Medium Duration Fund,100,Moderate,9.16,7.19,7.02,0.67,1879.26,Growth,Active Fund,INF174K01VQ5,Yes
Kotak Nifty SDL Jul 2033 Index Fund-Dir (G),Index Fund,100,Moderate,9.16,,,0.22,213.97,Growth,Passive Fund,INF174KA1MJ8,Yes
Kotak Bluechip Fund - Direct (G),Large Cap Fund,100,Very High,9.15,14.06,16.51,0.62,9267.66,Growth,Active Fund,INF174K01KW6,Yes
ICICI Pru Constant Maturity Gilt Fund-Dir (G),Gilt Fund with 10 year Constant duration,5000,Moderate,9.15,6.51,6.6,0.23,2464.98,Growth,Active Fund,INF109KA1O37,Yes
Kotak Nifty G-Sec July 2033 Index Fund-Dir (G),Index Fund,100,Moderate,9.14,,,0.14,19.46,Growth,Passive Fund,INF174KA1PJ1,Yes
UTI-Large Cap Fund - Direct (G),Large Cap Fund,100,Very High,9.14,11.48,15.07,0.94,12481.94,Growth,Active Fund,INF789F01US8,Yes
Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Dir (G),Index Fund,100,Moderate,9.13,7.13,,0.2,2928.67,Growth,Passive Fund,INF174KA1IR9,Yes
SBI Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,9.13,13.38,,0.7,33308.58,Growth,Active Fund,INF200KA1Y73,Yes
Nippon India Pharma Fund - Direct (G),Sectoral / Thematic,5000,Very High,9.13,19.26,24.38,0.93,8160.74,Growth,Active Fund,INF204K01I50,Yes
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Dir (G),Index Fund,500,Moderate,9.11,,,0.22,159.91,Growth,Passive Fund,INF209KB14S0,Yes
AXIS Floater Fund - Direct (G),Floater Fund,5000,Moderately Low,9.1,7.44,,0.2,174.93,Growth,Active Fund,INF846K014A6,Yes
DSP Floater Fund - Direct (G),Floater Fund,100,Moderately Low,9.1,7.11,,0.24,614.11,Growth,Active Fund,INF740KA1PV1,Yes
SBI Magnum Constant Maturity Fund - Direct (G),Gilt Fund with 10 year Constant duration,5000,Moderate,9.09,6.7,6.27,0.31,1799.85,Growth,Active Fund,INF200K01SK7,Yes
DSP 10Y G-Sec - Dir (G),Gilt Fund with 10 year Constant duration,100,Moderate,9.09,6.4,5.62,0.31,57.07,Growth,Active Fund,INF740K019I5,Yes
AXIS Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,9.08,7.0,7.0,0.41,934.26,Growth,Active Fund,INF846K01DD4,Yes
Aditya Birla SL Long Duration Fund - Direct (G),Long Duration Fund,100,Moderate,9.08,,,0.43,154.7,Growth,Active Fund,INF209KB17J2,Yes
AXIS Strategic Bond Fund - Direct (G),Medium Duration Fund,100,Moderately High,9.08,7.4,7.51,0.54,1981.41,Growth,Active Fund,INF846K01DT0,Yes
SBI Flexi Cap Fund - Direct (G),Flexi Cap Fund,1000,Very High,9.07,11.19,15.32,0.84,21592.65,Growth,Active Fund,INF200K01UG1,Yes
Parag Parikh Conservative Hybrid Fund-Dir (G),Conservative Hybrid Fund,5000,Moderately High,9.05,10.96,,0.35,2397.73,Growth,Active Fund,INF879O01175,Yes
BHARAT Bond ETF FOF - April 2032 - Direct (G),FoFs Domestic,100,Moderate,9.05,6.78,,0.06,4468.8,Growth,Active Fund,INF754K01NY5,Yes
Nippon India Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,9.05,6.82,6.6,0.32,4286.21,Growth,Active Fund,INF204K01A25,Yes
